               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.024258,           0.0095884,           0.0084251,             0.92312,             0.94545,             0.95637,             0.79371,            0.014926,            0.002599,          0.00099003,             0.00769,             0.00769,             0.00769
                  37,            0.024777,           0.0097674,           0.0077469,             0.94414,              0.9412,             0.96526,             0.81806,             0.01254,           0.0025904,           0.0022505,            0.007624,            0.007624,            0.007624
                  38,            0.024148,           0.0095719,           0.0077422,             0.95654,             0.97143,             0.98381,             0.81801,            0.012732,           0.0025184,          0.00077314,            0.007558,            0.007558,            0.007558
                  39,            0.023356,           0.0093472,           0.0083346,             0.93008,             0.94259,             0.96449,             0.82659,            0.012147,           0.0024839,           0.0017456,            0.007492,            0.007492,            0.007492
                  40,            0.024119,           0.0095352,           0.0058212,             0.95343,             0.94519,             0.95795,             0.82376,            0.013542,           0.0024999,           0.0018484,            0.007426,            0.007426,            0.007426
                  41,            0.023831,           0.0094995,            0.005862,             0.96965,             0.95353,             0.97718,             0.83082,            0.012427,           0.0025613,           0.0011983,             0.00736,             0.00736,             0.00736
                  42,            0.023824,           0.0094828,           0.0065595,             0.94201,             0.96352,             0.96051,             0.82636,            0.011904,           0.0025232,          0.00085208,            0.007294,            0.007294,            0.007294
                  43,            0.023167,           0.0092671,           0.0063737,             0.91685,             0.92009,             0.96689,             0.81954,            0.011497,           0.0025674,           0.0040462,            0.007228,            0.007228,            0.007228
                  44,            0.023599,           0.0093779,           0.0060644,             0.95865,             0.97805,             0.97966,             0.82962,            0.012813,           0.0024612,          0.00063074,            0.007162,            0.007162,            0.007162
                  45,            0.023834,           0.0091135,           0.0054974,             0.96123,              0.9601,             0.97424,             0.83431,            0.010472,           0.0025186,          0.00051324,            0.007096,            0.007096,            0.007096
                  46,            0.023449,           0.0090004,           0.0053119,             0.96718,             0.96186,             0.97733,             0.84136,            0.011256,           0.0026556,          0.00057383,             0.00703,             0.00703,             0.00703
